,OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SourceEUI(kBtu/sf),SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity,NumberOfUse,BuildingAge,SiteEnergyUse(log(kBtu))
1876,23672,NonResidential,Office,Lake union,1986,1.0,4,57432,21906,35526,Office,34160.0,Parking,19650.0,Without,0.0,,231.6999969,2520483.25,0.0,2520483.0,0.0,Compliant,Not outlier,17.57,0.31,2,30,14.739961206975897
1877,23673,NonResidential,Office,Lake union,1969,1.0,3,25912,7956,17956,Office,17332.0,Parking,9162.0,Without,0.0,,120.8000031,666740.3125,0.0,666740.0,0.0,Compliant,Not outlier,4.65,0.18,2,47,13.410155912504887
1878,23674,NonResidential,Office,Lake union,2000,1.0,3,57132,21908,35224,Office,33705.0,Parking,21908.0,Without,0.0,73.0,185.8999939,1994967.75,0.0,1994967.0,0.0,Compliant,Not outlier,13.91,0.24,2,16,14.506138442761905
1885,23691,NonResidential,Worship Facility,Delridge,1963,1.0,1,23706,0,23706,Worship Facility,23706.0,Without,0.0,Without,0.0,78.0,33.29999924,400770.9063,0.0,176869.0,223902.0,Compliant,Not outlier,13.12,0.55,1,53,12.901145237046222
1887,23701,NonResidential,Warehouse,Greater duwamish,1963,1.0,1,31900,0,31900,Warehouse,28000.0,Office,4000.0,Without,0.0,,192.8000031,1964681.25,0.0,1964681.0,0.0,Compliant,Not outlier,13.7,0.43,2,53,14.490840576386969
1889,23711,NonResidential,Other,Southwest,1917,1.0,1,49066,0,49066,Meeting Hall,49000.0,Without,0.0,Without,0.0,,105.0999985,3835202.0,0.0,538005.0,3297197.0,Compliant,Not outlier,178.86,3.65,1,99,15.159732664147311
1893,23716,NonResidential,Supermarket/Grocery Store,Southeast,1959,1.0,1,67450,0,67450,Supermarket/Grocery Store,42760.0,Without,0.0,Without,0.0,97.0,170.6000061,2842819.5,0.0,2061754.0,781065.0,Compliant,Not outlier,55.86,0.83,1,57,14.860306899345712
1897,23730,NonResidential,Warehouse,Magnolia / queen anne,1948,1.0,1,46970,0,46970,Warehouse,46970.0,Without,0.0,Without,0.0,,59.0,882896.5,0.0,882896.0,0.0,Compliant,Not outlier,6.16,0.13,1,68,13.690963258672959
1898,23736,NonResidential,Warehouse,Magnolia / queen anne,1931,1.0,1,47554,0,47554,Warehouse,18133.0,Office,8679.0,Retail Store,2388.0,,91.69999695,1035554.688,0.0,844482.0,191073.0,Compliant,Not outlier,16.04,0.34,5,85,13.850447771556963
1899,23742,NonResidential,Office,Magnolia / queen anne,1979,1.0,2,43016,5400,37616,Office,43016.0,Without,0.0,Without,0.0,100.0,35.40000153,1234095.5,0.0,107823.0,1126273.0,Compliant,Not outlier,60.57,1.41,1,37,14.025848871052649
